project_name,notice_type,region,notice_date,bid_description,sector_description,link
"strengthening peru's national science, technology and innovation system",contract award,none,25-jun-2024,monitores técnicos para supervisión de las actividades para el desarrollo de tecnologías,"['tertiary education', 'other industry, trade and services', 'public administration - industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297807
kumasi urban mobility and accessibility project (kumap),contract award,none,25-jun-2024,recruitment of project preparation coordinator for the preparatory phase for kumap,"['urban transport', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297805
eastern africa regional digital integration project,request for expression of interest,south sudan,25-jun-2024,social safeguards specialist,"['ict infrastructure', 'public administration - information and communications technologies', 'ict services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297804
senegal energy access scale up project,contract award,none,25-jun-2024,"recrutement d’un expert en environnemental et social pour l’ucs, 01 an renouvelable","['energy transmission and distribution', 'public administration - energy and extractives']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297802
chad - refugees and host communities support project,contract award,none,25-jun-2024,acquisition des équipements pour la visibilité du rsu,"['social protection', 'other water supply, sanitation and waste management', 'health facilities and construction', 'primary education', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297801
regional sahel pastoralism support project ii,contract award,none,25-jun-2024,travaux de réhabilitation de 200 km de pistes à bétail et réalisation de 100 km de nouvelles pistes dans les régions de sikasso-bougouni-koutiala,"['social protection', 'workforce development and vocational education', 'livestock', 'public administration - agriculture, fishing & forestry', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297800
nigeria for women project,contract award,none,25-jun-2024,supply and installation of oil palm processing equipment and accessories for four (4 nos.) collectives in esit eket l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297812
forest conservation and sustainability in the heart of the colombian amazon,contract award,none,25-jun-2024,"adquisición de equipos para el fortalecimiento institucional, con el fin de fortalecer operativa y administrativamente a las entidades socias del proyecto conservación de bosques y sostenibilidad en el corazón de la amazonia.","['forestry', 'sub-national government', 'central government (central agencies)', 'forestry', 'central government (central agencies)', 'sub-national government']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297799
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,25-jun-2024,consruction stone masonry arch bridge 30m span along mngazi-singisa road in morogoro dc,"['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297803
social safety net project,contract award,none,25-jun-2024,contratación de consultor individual especialista financiero para el proyecto “red de protección social” período 2024,"['social protection', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297793
harmonizing and improving statistics in west and central africa - series of projects 1 (hiswaca - so,contract award,none,25-jun-2024,acquisition de 1870 sacs enquêteurs avec logo rge,"['other public administration', 'ict services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297798
governance reform and accountability transformation (great) project,contract award,none,25-jun-2024,engagement of a govtech officer,"['sub-national government', 'central government (central agencies)']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297797
regional electricity access and best project,contract award,none,25-jun-2024,"relance acquisition 01 vehicule de type 4x4, station wagon pour l'ugpe avec le projet best","['energy transmission and distribution', 'public administration - energy and extractives', 'other energy and extractives']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297796
harmonizing and improving statistics in west and central africa - series of projects 1 (hiswaca - so,contract award,none,25-jun-2024,recrutement d'un prestataire pour la reprographie des questionnaires et document de l'enquête pam,"['other public administration', 'ict services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297794
growing up and learning together: comprehensive early childhood development in el salvador,contract award,none,25-jun-2024,contratación de técnico con especialidad de gestión ambiental para la unidad de infraestructura educativa del mopt-préstamo birf 9067-sv del mineducyt (segunda convocatoria),"['early childhood education', 'public administration - education', 'workforce development and vocational education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297790
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297791
harmonizing and improving statistics in west and central africa - series of projects 1 (hiswaca - so,contract award,none,25-jun-2024,"acquisition matériels enquêteurs (1960 gilets, 1960 casquettes,  1960 t-shirts)","['other public administration', 'ict services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297789
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,25-jun-2024,construction of stone masonry arch culverts along iyogwe-chogoali road in gairo dc,"['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297795
livestock productivity and resilience support project,contract award,none,25-jun-2024,procurement of personal protective equipment (ppe) for livestock farmers,"['public administration - agriculture, fishing & forestry', 'social protection', 'agricultural markets, commercialization and agri-business', 'livestock']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297792
gulf of guinea northern regions social cohesion project,contract award,none,25-jun-2024,"recrutement de structures d’appui a la mise en œuvre des sous-projets en lien avec le developpement economique local
dans les regions du folon, du kabadougou, du bafing, du worodougou et du bere","['social protection', 'sub-national government', 'agricultural markets, commercialization and agri-business', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297788
sierra leone - quality essential health services and systems support project,contract award,none,25-jun-2024,recruitment of  technical advisor (ta) to develop curriculum for medicine and allied health sciences (dentistry),"['health facilities and construction', 'public administration - health', 'health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297787
district heating energy efficiency project,contract award,none,25-jun-2024,project financial audit for 2023-2024,"['non-renewable energy generation', 'public administration - energy and extractives', 'water supply']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297785
paraguay public health sector strengthening,contract award,none,25-jun-2024,"especialista senior ambiental como apoyo a la direccion general sde salud ambiental (digesa), para el proyecto  de fortalecimiento del sector de salud (8963)","['health facilities and construction', 'public administration - health', 'health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297786
chad - refugees and host communities support project,contract award,none,25-jun-2024,acquisition des équipements pour la visibilité du rsu,"['social protection', 'other water supply, sanitation and waste management', 'health facilities and construction', 'primary education', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297784
climate resilience and water security in angola-reclima,request for expression of interest,angola,25-jun-2024,assitant project accountant,"['crops', 'water supply', 'sanitation', 'public administration - water, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297783
nigeria for women project,contract award,none,25-jun-2024,engagement of consulting services firm for the preparation of environmental and social management plans (esmps) for sixty (60nos) livelihood collectives along the cassava and oil palm value chains.,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297781
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,25-jun-2024,construction of mult cell box culverts and raise embankment along kharumwa - nyijundu (13km) road in nyang'hwale dc,"['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297782
nigeria for women project,contract award,none,25-jun-2024,extension of livelihood adviser's engagement,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297780
livestock productivity and resilience support project,contract award,none,25-jun-2024,"solar powered borehole with 40,000 litres steel tanks with reticulation to supply watering points, watering troughs, pasture irrigation and communal living` in lata grazing reserve-settlement a","['public administration - agriculture, fishing & forestry', 'social protection', 'agricultural markets, commercialization and agri-business', 'livestock']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297778
forest conservation and sustainability in the heart of the colombian amazon,contract award,none,25-jun-2024,"prestar sus servicios como facilitador local en el desarrollo de actividades de campo para el inventario forestal de los predios asociados al núcleo de desarrollo forestal - ndf la rompida del sitio ramsar estrella fluvial inírida, departamento de guainía","['forestry', 'sub-national government', 'central government (central agencies)', 'forestry', 'central government (central agencies)', 'sub-national government']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297776
regional sahel pastoralism support project ii,contract award,none,25-jun-2024,travaux de réalisation de 100 km de nouvelles pistes à bétail dans la région de san,"['social protection', 'workforce development and vocational education', 'livestock', 'public administration - agriculture, fishing & forestry', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297777
livestock productivity and resilience support project,contract award,none,25-jun-2024,repair of boreholes in lata grazing reserve (3 nos) with provision of watering troughs,"['public administration - agriculture, fishing & forestry', 'social protection', 'agricultural markets, commercialization and agri-business', 'livestock']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297779
paraguay public health sector strengthening,contract award,none,25-jun-2024,contratación de especialista consultor en comunicación,"['health facilities and construction', 'public administration - health', 'health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297775
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297774
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297772
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297773
mozambique digital acceleration project,contract award,none,25-jun-2024,"emergency works for construction of culverts (2.0x2.0 m²) on road n7 vanduzi/ catandica, road r522 - chitobe/save, construction of drift of road r953 cruz r522(save)/localidade de mazissanga and road r521 cruz chibabava/chitobe in manica province","['ict infrastructure', 'secondary education', 'public administration - information and communications technologies', 'ict services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297770
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297768
malawi covid-19 emergency response and health systems preparedness project,contract award,none,25-jun-2024,supply and delivery of end user devices ( tablets) for  vaccination tracking,"['health facilities and construction', 'health', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297769
second africa higher education centers of excellence for development impact,contract award,none,25-jun-2024,procurement of learning application software,"['tertiary education', 'public administration - education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297767
poverty reduction fund iii,contract award,none,25-jun-2024,"officer furniture (working desk, working chair, filing cabinet and other)","['social protection', 'public administration - social protection', 'sub-national government', 'other agriculture, fishing and forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297771
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297766
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297765
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297763
climate adaptation and resilience for south asia,request for expression of interest,thailand,25-jun-2024,"national advisor, climate adaptation and resilience - pakistan","['other public administration', 'sub-national government']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297762
drc- sme development and growth project,contract award,none,25-jun-2024,acquisition équipements pour exposition et achalandage pour appui des institutions privées  de la ville de kinshasa (cnfe et copemeco),"['agricultural markets, commercialization and agri-business', 'other industry, trade and services', 'manufacturing', 'public administration - industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297761
nigeria for women project,contract award,none,25-jun-2024,supply and installation of cassava processing equipment and accessories for one (1 no.) collective in esit eket l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297757
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297764
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297756
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297758
south sudan productive safety net for socioeconomic opportunities project,contract award,none,25-jun-2024,office rent for two years (24) months,"['social protection', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297755
liberia sustainable management of fisheries project,request for expression of interest,liberia,25-jun-2024,"consultancy services to conduct geotechnical studies, detailed design ,and supervision of mesurado industrial & artisanal landing facilities and other fisheries infrastructures","['fisheries', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297759
empowering women entrepreneurs and upgrading msmes for economic transformation and jobs in drc proje,contract award,none,25-jun-2024,"achat et distribution des téléphones portables aux (25.000) bénéficiaires sélectionnées, y compris les applications dédiées et formation en utilisation des technologies numériques pour mettre en œuvre les plans d'affaires","['capital markets', 'public administration - financial sector']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297760
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297754
nigeria for women project,contract award,none,25-jun-2024,construction of oil palm processing shed and other works for four (4 nos.)  oil palm processing collectives in esit eket l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297752
accelerating transport and trade connectivity in eastern south asia – nepal phase 1 project,contract award,none,25-jun-2024,"upgrading of improvement of butwal-gorusinghe-chanauta road and bridges [ch: 590+000 km to ch: 640+000 km, east-west highway]","['rural and inter-urban roads', 'public administration - transportation', 'ict infrastructure', 'urban transport', 'trade']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297751
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297753
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297750
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,25-jun-2024,"construction, reconstruction and rehabilitation of educational facilities in southern borno","['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297749
nigeria for women project,contract award,none,25-jun-2024,construction of oil palm processing shed and other works for four (4 nos.)  oil palm processing collectives in esit eket l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297746
solar energy in local communities,contract award,none,25-jun-2024,"recrutement par entente directe de monsieur samuel macumi, coordonnateur du projet","['renewable energy solar', 'public administration - energy and extractives']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297747
nigeria for women project,contract award,none,25-jun-2024,construction of oil palm processing shed and other works for four (4 nos.)  oil palm processing collectives in esit eket l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297748
nigeria for women project,contract award,none,25-jun-2024,construction of oil palm processing shed and other works for four (4 nos.)  oil palm processing collectives in esit eket l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297745
service delivery and support to communities affected by displacement project,request for expression of interest,central african republic,25-jun-2024,coordonnateur - recrutement du coordonnateur du projet filets sociaux.,"['social protection', 'other transportation', 'irrigation and drainage', 'sub-national government', 'water supply']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297744
accelerating transport and trade connectivity in eastern south asia – nepal phase 1 project,contract award,none,25-jun-2024,"upgrading of improvement of butwal-gorusinghe-chanauta road and bridges [ch: 590+000 km to ch: 640+000 km, east-west highway]","['rural and inter-urban roads', 'public administration - transportation', 'ict infrastructure', 'urban transport', 'trade']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297743
service delivery and support to communities affected by displacement project,request for expression of interest,central african republic,25-jun-2024,expert social - recrutement d'un consultant en développement social pour le projet des filets sociaux et de la résilience.,"['social protection', 'other transportation', 'irrigation and drainage', 'sub-national government', 'water supply']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297742
"côte d'ivoire health, nutrition, and early childhood development program",request for expression of interest,cote d'ivoire,25-jun-2024,recrutement d'un spécialiste en sauvegarde sociale pour l'ucps-bm,"['health', 'public administration - health', 'health facilities and construction']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297741
ghana landscape restoration and small-scale mining project,contract award,none,25-jun-2024,3.5.1.14 supply of equipment and items to strengthen the basin secretariats capacity to manage and monitor asm activities at basin (refer to river guards for monitoring),"['agricultural markets, commercialization and agri-business', 'forestry', 'agricultural extension, research, and other support activities', 'mining', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297740
climate adaptation and resilience for south asia,request for expression of interest,thailand,25-jun-2024,"mobile app developer - moald, nepal","['other public administration', 'sub-national government']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297738
zanzibar improving quality of basic education project,invitation for bids,tanzania,25-jun-2024,procurement of four (4) servers to support vle content development,"['public administration - education', 'other education', 'secondary education', 'primary education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297739
malawi covid-19 emergency response and health systems preparedness project,contract award,none,25-jun-2024,supply and delivery of end user devices ( tablets) for  vaccination tracking,"['health facilities and construction', 'health', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297736
service delivery and support to communities affected by displacement project,request for expression of interest,central african republic,25-jun-2024,"expert vbg - recrutement d'un consultant individuel, spécialiste genre, violence basée sur le genre et harcèlement sexuel du projet filets sociaux.","['social protection', 'other transportation', 'irrigation and drainage', 'sub-national government', 'water supply']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297737
comoros interisland connectivity project,invitation for bids,comoros,25-jun-2024,acquisition de mobiliers de bureau et matériels informatiques pour le personnel affecté à mohéli,"['ports/waterways', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297735
integrated development and competitiveness project,contract award,none,25-jun-2024,recrutement d’un prestataire de service pour l’accompagnement des laureats gagnants du concours national des plans d’affaires (cpa) du pidc,"['other industry, trade and services', 'agricultural markets, commercialization and agri-business', 'tourism', 'livestock', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297734
climate resilience multi-phase programmatic approach,contract award,none,25-jun-2024,improvements to allai kanthale raja ela connecting road.,"['other water supply, sanitation and waste management', 'other public administration', 'ict infrastructure']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297732
climate smart irrigated agriculture project,contract award,none,25-jun-2024,procurement of 5000 nos parachute trays 100 nos reflective poly mulch rolls (400 x 1.2 m) 40 nos insect proof net (150 x 3 m) for agronomic interventions  programme in 2024 yala season - north central province - csiap,"['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297731
malawi covid-19 emergency response and health systems preparedness project,contract award,none,25-jun-2024,supply and delivery of end user devices ( tablets) for  vaccination tracking,"['health facilities and construction', 'health', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297730
climate and disaster resilient cities project,request for expression of interest,turkiye,25-jun-2024,reqruitment of environment specialist,"['housing construction', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297729
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,25-jun-2024,lantana eradication (new) 2023-24 (50% to 75% and 75% to 100%) for 40 ha.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297725
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,25-jun-2024,lantana eradication (new) 2023-24 (50% to 75% and 75% to 100%) for 40 ha.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297723
chad - refugees and host communities support project,contract award,none,25-jun-2024,acquisition de matériels informatiques complémentaires au profit de l'inseed,"['social protection', 'other water supply, sanitation and waste management', 'health facilities and construction', 'primary education', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297722
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,25-jun-2024,lantana eradication (new) 2023-24 (50% to 75% and 75% to 100%) for 40 ha.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297724
climate and disaster resilient cities project,request for expression of interest,turkiye,25-jun-2024,recruitment social expert  (resettlement/relocation specialized) for ankara,"['housing construction', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297728
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,25-jun-2024,lantana eradication (new) 2023-24 (50% to 75% and 75% to 100%) for 40 ha.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297721
national agriculture development program,contract award,none,25-jun-2024,recrutement d'un chargé de passation des marchés pour l'unité provinciale de coordination pnda/kwilu,"['other agriculture, fishing and forestry', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'rural and inter-urban roads', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297717
service delivery and support to communities affected by displacement project,request for expression of interest,central african republic,25-jun-2024,sgf - recrutement d'un spécialiste en gestion financière du projet filets sociaux.,"['social protection', 'other transportation', 'irrigation and drainage', 'sub-national government', 'water supply']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297719
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,25-jun-2024,construction of two  cells box culvert and approach roads along kerezia - mnekezi (19 km) in bukombe,"['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297727
service delivery and support to communities affected by displacement project,request for expression of interest,central african republic,25-jun-2024,spm - recrutement d'un spéciliaste en passation des marchés pour le projet filets sociaux.,"['social protection', 'other transportation', 'irrigation and drainage', 'sub-national government', 'water supply']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297718
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,25-jun-2024,lantana eradication (new) 2023-24 (50% to 75% and 75% to 100%) for 40 ha.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297726
economic transformation for inclusive growth project,request for expression of interest,madagascar,25-jun-2024,assistant technique auprès de la plateforme huile essentielle nosy be,"['public administration - industry, trade and services', 'tourism', 'agricultural markets, commercialization and agri-business', 'sub-national government', 'central government (central agencies)']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297720
climate smart irrigated agriculture project,contract award,none,25-jun-2024,procurement of 5000 nos parachute trays 100 nos reflective poly mulch rolls (400 x 1.2 m) 40 nos insect proof net (150 x 3 m) for agronomic interventions  programme in 2024 yala season - north central province - csiap,"['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297715
integrated flood resilience and adaptation project,invitation for bids,pakistan,25-jun-2024,procurement of video conference system and video wall for fpmu,"['irrigation and drainage', 'rural and inter-urban roads', 'housing construction', 'water supply', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297716
nigeria covid-19 preparedness and response project,contract award,none,25-jun-2024,procurement of disinfectants for selected public health centres,"['health', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297711
barwaaqo - somalia water for rural resilience project,contract award,none,25-jun-2024,livestock development specialist,"['water supply', 'agricultural markets, commercialization and agri-business', 'livestock', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297712
