project_name,notice_type,region,notice_date,bid_description,sector_description
Rural Livelihoods Productivity and Resilience Project,Request for Expression of Interest,Eastern And Southern Africa,17-Jun-2024,Responsable de la Passation de marchés du Projet Riz Plus,"Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities,Irrigation and Drainage,Forestry"
"Georgia I2Q - Innovation, Inclusion and Quality",Contract Award,Europe And Central Asia,17-Jun-2024,Reconstruction/Rehabilitation of Village Agara Public School in Kareli Municipality,"Other Education,Tertiary Education,Public Administration - Education,Primary Education,Early Childhood Education"
Service Delivery and Support to Communities Affected by Displacement Project,Contract Award,Western And Central Africa,17-Jun-2024,PPSD - Recrutement d'un consultant pour l'élaboration de la Stratégie de Passation des Marchés pour Promouvoir le Développement du nouveau projet.,"Social Protection,Other Transportation,Irrigation and Drainage,Sub-National Government,Water Supply"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Constructio of ston pitching, side drains, rigid pavement(concrete slab) crossing culverts along Chiungutwa -songambele road in Masasi DC","Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Accelerating Economic Diversification and Job Creation Project,Request for Expression of Interest,Eastern And Southern Africa,17-Jun-2024,Contabilista para UIP,"ICT Services,Other Industry, Trade and Services,Trade,Banking Institutions"
Urban Productive Safety Net and Jobs Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Local Construction materials,"Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Construction of 3 stone masonry arch culverts along Oloipiri - Soitsambu 31.41km road in Ngorongoro DC,"Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Solomon Islands Agriculture and Rural Transformation Project,Contract Award,East Asia And Pacific,17-Jun-2024,1x Desktop (3 screen) for Capacity Development PMU.,"Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business"
Third South West Indian Ocean Fisheries Governance and Shared Growth Project (SWIOFish3),Contract Award,Eastern And Southern Africa,17-Jun-2024,Purchase of diving and survey equipment for National Marine Protected Area Authority,"Fisheries,Public Administration - Agriculture, Fishing & Forestry"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Construction of mult cell box culverts along Chekeleni-Mkonye-Nambela-Mtamaroad in Mtwara DC,"Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Malawi - Electricity Access Project,Invitation for Bids,Eastern And Southern Africa,17-Jun-2024,Supply and delivery of Distribution Transformers and Protection Supplies,"Energy Transmission and Distribution,Public Administration - Energy and Extractives,Renewable Energy Solar"
Madagascar Basic Education Support Project,Invitation for Bids,Eastern And Southern Africa,17-Jun-2024,Achat de fournitures répartis en plusieurs lots,"Early Childhood Education,Primary Education"
China Plastic Waste Reduction Project,Request for Expression of Interest,East Asia And Pacific,17-Jun-2024,Integration and demonstration of source reduction and resource utilization technology of rural domestic waste,"Waste Management,Sub-National Government,Public Administration - Water, Sanitation and Waste Management,Central Government (Central Agencies)"
Ethiopia COVID-19 Emergency Response,Contract Award,Eastern And Southern Africa,17-Jun-2024,Procurement of IT Equipment,"Health,Public Administration - Health,Health Facilities and Construction"
Emergency Locust Response Program,Contract Award,Eastern And Southern Africa,17-Jun-2024,Somali procurement of improved forage seeds,"Public Administration - Agriculture, Fishing & Forestry,Livestock,Crops,Social Protection"
Harmonizing and Improving Statistics in West and Central Africa - Series of Projects Two (HISWACA -,Contract Award,Western And Central Africa,17-Jun-2024,"DR_ Acquisition des fournitures de bureau ( Rame, stylo, Consommables informatiques...) pour les activités de l'ICASEES e du Projet au titre du 1er semestre.","Central Government (Central Agencies),Public Administration - Social Protection"
Employment Support Project,Invitation for Bids,Europe And Central Asia,17-Jun-2024,Procurement of Heavy-Duty Vehicle Operation training simulator for Guba Vocational Training Center,"Social Protection,Workforce Development and Vocational Education,Other Industry, Trade and Services,Public Administration - Social Protection"
Service Delivery and Support to Communities Affected by Displacement Project,Contract Award,Western And Central Africa,17-Jun-2024,Rapport d'achèvement - Recrutement d'un consultant pour l'élaboration du rapport d'achèvement du PACAD.,"Social Protection,Other Transportation,Irrigation and Drainage,Sub-National Government,Water Supply"
Digital and Energy Connectivity for Inclusion in Madagascar Project,Request for Expression of Interest,Eastern And Southern Africa,17-Jun-2024,Recrutement d’un Consultant Spécialiste en Gestion des Déchets d’Equipements Electriques et Electroniques du Projet DECIM,"Public Administration - Energy and Extractives,Renewable Energy Solar,Renewable Energy Hydro,ICT Services,ICT Infrastructure"
Somalia Crisis Recovery Project,Invitation for Bids,Eastern And Southern Africa,17-Jun-2024,"Rehabilitation of Wareegi Doodije (1.45 Km),Suubiye (1.365 Km) and Horseed (1.460 Km) Roads, in Jowhar District, Hirshaballe State.","Public Administration - Social Protection,Social Protection,Irrigation and Drainage,Health Facilities and Construction,Other Public Administration"
Benin Vocational Education and Entrepreneurship for Jobs Project,Contract Award,Western And Central Africa,17-Jun-2024,"Assistant technique pour les programmes de formation, recherche, entrepreneuriat et les services dans les secteurs Numérique, Tourisme, Hôtellerie, Restauration, Etudiants","Workforce Development and Vocational Education,Public Administration - Education,Other Industry, Trade and Services"
Three Gorges Modern Logistics Center Infrastructure Project,Contract Award,East Asia And Pacific,17-Jun-2024,Information Center (Information Construction) Supervision Consulting,"Urban Transport,Trade,Ports/Waterways,ICT Services,ICT Infrastructure,Public Administration - Transportation"
Restoration Project of Winterization and Energy Resources,Contract Award,Europe And Central Asia,17-Jun-2024,"Lot 1: Procurement of truck-mounted cranes (25 t lifting capacity, 6x6 chassis).
Lot 2: Procurement of pickup trucks (4x4 ladder-frame chassis)","Energy Transmission and Distribution,Public Administration - Energy and Extractives"
Malawi - Electricity Access Project,Invitation for Bids,Eastern And Southern Africa,17-Jun-2024,Supply and delivery of Forklifts and Pole Loggers,"Energy Transmission and Distribution,Public Administration - Energy and Extractives,Renewable Energy Solar"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,Backlog Maintenance/Rehabilitation of 60.03km of Rural Roads in Plateau State (Lots 1-2),"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Uganda COVID-19 Response and Emergency Preparedness Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Procurement of Office  Furniture for the UCREPP Offices,"Public Administration - Health,Health,Health Facilities and Construction"
Angola Commercial Agriculture Development Project (PDAC),Request for Expression of Interest,Eastern And Southern Africa,17-Jun-2024,Environmental Safeguards Specialist,"Public Administration - Agriculture, Fishing & Forestry,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Energy Transmission and Distribution"
Lao People’s Democratic Republic Civil Registration and Vital Statistics Project,Contract Award,East Asia And Pacific,17-Jun-2024,Paper of certificate for PoHA and DoHA in Phase IV,"Central Government (Central Agencies),ICT Services"
Development Response to Displacement Impacts Project in the Horn of Africa Phase II,Contract Award,Eastern And Southern Africa,17-Jun-2024,Construction of Kiflay intake  small scale Irrigation at Lay Arabur  kebele of Dabate woreda  with command area of 60 ha procured by ANRS BOA,"Other Agriculture, Fishing and Forestry,Social Protection,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Social Protection"
Third South West Indian Ocean Fisheries Governance and Shared Growth Project (SWIOFish3),Contract Award,Eastern And Southern Africa,17-Jun-2024,Purchase of diving and survey equipment for National Marine Protected Area Authority,"Fisheries,Public Administration - Agriculture, Fishing & Forestry"
Ethiopia Digital Foundations Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Procurement of basic Spectrum Monitoring Equipment - ECA,"ICT Infrastructure,Public Administration - Education,Public Administration - Information and Communications Technologies,ICT Services"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Construction of mult cell box culverts, rigid pavement and side drains along Chiwindi-Mtimbwilimbwi road in Nanyamaba DC","Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Construction of mult cell box culvert and  approach road along Luganga-Itimbo-Isupilo road in Mafinga Town Council,"Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Construction of double cell reinforced box culvert along Usa River - Maji ya Chai 25.11km road Meru Dc,"Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
DRC Girls Learning and Empowerment Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Recrutement du Spécialiste en TIC Infrastructure  du sein de l’ECP PAAF,"Other Education,Public Administration - Education"
Uganda COVID-19 Response and Emergency Preparedness Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Engraving services for Basic Medical Equipment (Weighing Scales, Blood Pressure Machines , Stethoscopes, Glucometers, Blood Glucose Strips and Neonatal Resuscitators) for Selected Health Facilities","Public Administration - Health,Health,Health Facilities and Construction"
Chad - Refugees and Host Communities Support Project,Contract Award,Western And Central Africa,17-Jun-2024,Acquisition et installation des appareils pour visioconférence au profit de RSU,"Social Protection,Other Water Supply, Sanitation and Waste Management,Health Facilities and Construction,Primary Education,Public Administration - Social Protection"
Urban Productive Safety Net and Jobs Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Procurement of Hand Tools,"Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
Urban Productive Safety Net and Jobs Project,Request for Expression of Interest,Eastern And Southern Africa,17-Jun-2024,Carry out Community Scorecard (CSC) survey for UPSNJP,"Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
Ethiopia Resilient Landscapes and Livelihoods Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Procurement of Poultry promotion for SLMP Woredas in West Shewa Zone, North Shewa Zone & South West Shewa Zone.","Agricultural markets, commercialization and agri-business,Forestry,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Emergency Locust Response Program,Contract Award,Eastern And Southern Africa,17-Jun-2024,procurement  of Animal  concentrate feed  4500 Quintal,"Public Administration - Agriculture, Fishing & Forestry,Livestock,Crops,Social Protection"
Harmonizing and Improving Statistics in West and Central Africa - Series of Projects Two (HISWACA -,Contract Award,Western And Central Africa,17-Jun-2024,DR_Trois (03) Chauffeur à recruter dans le cadre du projet  D'Harmonisation et d'Amélioration des Statistiques en Afrique de l'Ouest et du Centre (HISWACA SOP 2).,"Central Government (Central Agencies),Public Administration - Social Protection"
Food Systems Resilience Program for Eastern and Southern Africa,Contract Award,Eastern And Southern Africa,17-Jun-2024,Recrutement d’un Responsable Routes et Pistes,"Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
Western Balkans Trade and Transport Facilitation,Invitation for Bids,Europe And Central Asia,17-Jun-2024,Deployment of Intelligent Transport Systems (ITS) on highway A1 (Corridor X) - South Part – chainage from km 74+950.00 (Interchange Veles South) to km 172+127.44 (Border crossing Bogorodica),"Trade,Public Administration - Transportation,Railways,Ports/Waterways,Rural and Inter-Urban Roads"
Regional Sahel Pastoralism Support Project II,Contract Award,Western And Central Africa,17-Jun-2024,"Acquisition de Vamisole MG ou équivalent, boite de 100 Bolus; Bolumisole M1ou équivalent, boite de 100 Bolus; stoptic ou équivalent, flacon de 100ML et Olivitasol ou équivalent , sachet de 15G dans la Province Barh-elgazel .","Social Protection,Workforce Development and Vocational Education,Livestock,Public Administration - Agriculture, Fishing & Forestry,Other Water Supply, Sanitation and Waste Management"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,Spot Improvement of 27.06km Rural Roads in Mangu Local Government Area of Plateau State (1 Lot),"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Uganda COVID-19 Response and Emergency Preparedness Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Procurement of Office  Furniture for the UCREPP Offices,"Public Administration - Health,Health,Health Facilities and Construction"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,17-Jun-2024,Renovation of Old Community Tanks in different GPs under DPO IDP Mandi during 2023-24,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,Backlog Maintenance/Rehabilitation of 60.03km of Rural Roads in Plateau State (Lots 1-2),"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Harmonizing and Improving Statistics in West and Central Africa - Series of Projects Two (HISWACA -,Contract Award,Western And Central Africa,17-Jun-2024,DR_Trois (03) Chauffeur à recruter dans le cadre du projet  D'Harmonisation et d'Amélioration des Statistiques en Afrique de l'Ouest et du Centre (HISWACA SOP 2).,"Central Government (Central Agencies),Public Administration - Social Protection"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Construction of mult cell box culverts, line ditches and approach roads along Mwindi -Mnauke Road in Tandahimba  DC","Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
"Agriculture Governance, Growth and Resilience Investment Project",Contract Award,Europe And Central Asia,17-Jun-2024,Selection of a local legal expert to conduct the regulatory impact analysis of several national regulations transposing EU sanitary and veterinary normative acts concerning the animal safety sector.,"Agricultural Extension, Research, and Other Support Activities,Livestock,Public Administration - Agriculture, Fishing & Forestry,Irrigation and Drainage,Agricultural markets, commercialization and agri-business"
Harmonizing and Improving Statistics in West Africa,Contract Award,Western And Central Africa,17-Jun-2024,Recruitment of Environmental and Social Safe Guard Officer for HISWA Project,"Central Government (Central Agencies),ICT Infrastructure,Public Administration - Information and Communications Technologies,ICT Services"
Mozambique Digital Acceleration Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Emergency Works on the Road R451 Manjacaze/Chibonzane, Road R851 Crz. N1/Praia de Xai-Xai and Road NC Xai-Xai/Chilaulene in Gaza Province","ICT Infrastructure,Secondary Education,Public Administration - Information and Communications Technologies,ICT Services"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Construction of vented drift and rise of embankement along Chiwongapachini-Nandwahi-Nanda roads in Newala DC,"Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Ethiopia Resilient Landscapes and Livelihoods Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Procurement of Poultry promotion for SLMP Woredas in West Shewa Zone, North Shewa Zone & South West Shewa Zone.","Agricultural markets, commercialization and agri-business,Forestry,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Smallholder Agriculture Development Project - II,Contract Award,Eastern And Southern Africa,17-Jun-2024,Engagement of a Consulting Firm to perform an Annual Outcome Survey for SADP II,"ICT Services,Agricultural markets, commercialization and agri-business,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry"
OECS Data for Decision Making (DDM) Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Enterprise Census Enumerators,Other Public Administration
OECS Data for Decision Making (DDM) Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Enterprise Census Enumerators,Other Public Administration
Ethiopia Resilient Landscapes and Livelihoods Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Procurement of Poultry promotion for SLMP Woredas in West Shewa Zone, North Shewa Zone & South West Shewa Zone.","Agricultural markets, commercialization and agri-business,Forestry,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
OECS Data for Decision Making (DDM) Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Enterprise Census Enumerators,Other Public Administration
Chad - Refugees and Host Communities Support Project,Contract Award,Western And Central Africa,17-Jun-2024,Acquisition des fournitures scolaires pur les écoles construites au Lac Ennedi Est et WADI FIRA,"Social Protection,Other Water Supply, Sanitation and Waste Management,Health Facilities and Construction,Primary Education,Public Administration - Social Protection"
Samoa Climate Resilient Transport Project,Contract Award,East Asia And Pacific,17-Jun-2024,The development and implementation of a Crash Database in Samoa.,"Rural and Inter-Urban Roads,Public Administration - Transportation"
Ethiopia Digital Foundations Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Consultancy Services for Gap Analysis Study of Government Bandwidth Needs MInT,"ICT Infrastructure,Public Administration - Education,Public Administration - Information and Communications Technologies,ICT Services"
Ethiopia Resilient Landscapes and Livelihoods Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Procurement of Poultry promotion for SLMP Woredas in West Shewa Zone, North Shewa Zone & South West Shewa Zone.","Agricultural markets, commercialization and agri-business,Forestry,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Urban Productive Safety Net and Jobs Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Procurement of Hand Tools,"Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
OECS Data for Decision Making (DDM) Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Enterprise Census Enumerators,Other Public Administration
Ethiopia Resilient Landscapes and Livelihoods Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Procurement of Poultry promotion for SLMP Woredas in West Shewa Zone, North Shewa Zone & South West Shewa Zone.","Agricultural markets, commercialization and agri-business,Forestry,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Madagascar Basic Education Support Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Fourniture de matériels et équipements téléphoniques,"Early Childhood Education,Primary Education"
Restoration Project of Winterization and Energy Resources,Contract Award,Europe And Central Asia,17-Jun-2024,"Lot 1: Procurement of truck-mounted cranes (25 t lifting capacity, 6x6 chassis).
Lot 2: Procurement of pickup trucks (4x4 ladder-frame chassis)","Energy Transmission and Distribution,Public Administration - Energy and Extractives"
OECS Data for Decision Making (DDM) Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Enterprise Census Enumerators,Other Public Administration
OECS Data for Decision Making (DDM) Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Enterprise Census Enumerators,Other Public Administration
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Construction of two cell box culverts and approach roads along Kanyunya-Kisimani-Newala-Moneka Roads in Newala TC,"Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Somalia Urban Resilience Project II,Contract Award,Eastern And Southern Africa,17-Jun-2024,SPECIAL PROJECT ADVISOR TO THE MINISTER,Sub-National Government
Malawi Governance to Enable Service Delivery Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Construction of Ngapani Staff House & a Single Hole Toilet,"Central Government (Central Agencies),Sub-National Government"
Higher Education Project,Contract Award,Europe And Central Asia,17-Jun-2024,Purchase of furniture for the needs of the college,"Tertiary Education,ICT Services,Public Administration - Education"
Nigeria For Women Project,Contract Award,Western And Central Africa,17-Jun-2024,Construction of Rice Milling Shed for Six (6no) Women Collectives in Gurara LGA II in Niger State.,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Climate Resilience and Water Security in Angola-RECLIMA,Contract Award,Eastern And Southern Africa,17-Jun-2024,Hydrologist/Hydrogeologist,"Crops,Water Supply,Sanitation,Public Administration - Water, Sanitation and Waste Management"
Decentralized Sustainable and Resilient Rural Water and Sanitation Project,Request for Expression of Interest,Latin America And Caribbean,17-Jun-2024,Recrutement d'un Consultant Administrateur du contrat entre l’UNICEF et la DINEPA dans le cadre de la mise en oeuvre du projet EPARRDD,"Water Supply,Sanitation,Public Administration - Water, Sanitation and Waste Management,Irrigation and Drainage,Other Water Supply, Sanitation and Waste Management"
Accelerating Governance Institutional Reforms for sustainable services (AGIR) in RoC,Contract Award,Western And Central Africa,17-Jun-2024,"Recrutement d’un consultant individuel international Salah ELABIDI, Expert en JEE (Java Enterprise Edition) pour accompagner le Ministère de l'Economie et des Finances (MEF) dans les activités de de stabilisation de la solution E-TAX","Central Government (Central Agencies),Health,Other Education"
Rural and Small Towns Water Security Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Supply and Installation of 200m of PVC pipeline for replacement of the existing transmission main in Milange Water Supply System,"Water Supply,Sanitation,Public Administration - Water, Sanitation and Waste Management"
Livestock Productivity and Resilience Support Project,Contract Award,Western And Central Africa,17-Jun-2024,Procurement of Motor Vehicles for SCO: Two 4 Wheel Drive Hilux Pickup and A 14 seater bus,"Public Administration - Agriculture, Fishing & Forestry,Social Protection,Agricultural markets, commercialization and agri-business,Livestock"
Ethiopia Resilient Landscapes and Livelihoods Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Procurement of Poultry promotion for SLMP Woredas in West Shewa Zone, North Shewa Zone & South West Shewa Zone.","Agricultural markets, commercialization and agri-business,Forestry,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
OECS Data for Decision Making (DDM) Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Enterprise Census Enumerators,Other Public Administration
OECS Data for Decision Making (DDM) Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Enterprise Census Enumerators,Other Public Administration
Ethiopia Resilient Landscapes and Livelihoods Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Procurement of Poultry promotion for SLMP Woredas in West Shewa Zone, North Shewa Zone & South West Shewa Zone.","Agricultural markets, commercialization and agri-business,Forestry,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Ethiopia Resilient Landscapes and Livelihoods Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Procurement of Poultry promotion for SLMP Woredas in West Shewa Zone, North Shewa Zone & South West Shewa Zone.","Agricultural markets, commercialization and agri-business,Forestry,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Serbia Railway Sector Modernization,Contract Award,Europe And Central Asia,17-Jun-2024,Legal Specialist,"Railways,Public Administration - Transportation"
OECS Data for Decision Making (DDM) Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Enterprise Census Enumerators,Other Public Administration
Ethiopia Resilient Landscapes and Livelihoods Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Procurement of Poultry promotion for SLMP Woredas in West Shewa Zone, North Shewa Zone & South West Shewa Zone.","Agricultural markets, commercialization and agri-business,Forestry,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Ethiopia Resilient Landscapes and Livelihoods Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Procurement of Poultry promotion for SLMP Woredas in West Shewa Zone, North Shewa Zone & South West Shewa Zone.","Agricultural markets, commercialization and agri-business,Forestry,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Regional Sahel Pastoralism Support Project II,Contract Award,Western And Central Africa,17-Jun-2024,Construction de 50 parcs de vaccination,"Social Protection,Workforce Development and Vocational Education,Livestock,Public Administration - Agriculture, Fishing & Forestry,Other Water Supply, Sanitation and Waste Management"
Water Security in the Dry Corridor of Honduras,Contract Award,Latin America And Caribbean,17-Jun-2024,Contratación de Servicios de Auditoría para el Proyecto de Seguridad Hídrica en el Corredor Seco de Honduras,"Public Administration - Water, Sanitation and Waste Management,Irrigation and Drainage"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,Construction/Upgrading of 46.6Km Rural Roads in Ondo State under Ondo RAAMP (Lot 1-5),"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Regional Sahel Pastoralism Support Project II,Contract Award,Western And Central Africa,17-Jun-2024,Construction de 50 parcs de vaccination,"Social Protection,Workforce Development and Vocational Education,Livestock,Public Administration - Agriculture, Fishing & Forestry,Other Water Supply, Sanitation and Waste Management"
Nigeria For Women Project,Contract Award,Western And Central Africa,17-Jun-2024,Construction of Rice Milling Shed for Seven (7) Women Collectives in Gurara L.G.A. in Niger State.,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Regional Sahel Pastoralism Support Project II,Contract Award,Western And Central Africa,17-Jun-2024,Construction de 50 parcs de vaccination,"Social Protection,Workforce Development and Vocational Education,Livestock,Public Administration - Agriculture, Fishing & Forestry,Other Water Supply, Sanitation and Waste Management"
Nigeria For Women Project,Contract Award,Western And Central Africa,17-Jun-2024,Supply and Installation of Ground Nut Processing Equipment and Accessories for Eight (8no) Women Collectives in Agaie/Wushishi LGAs in Niger State.,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
CAR Inclusive and Resilient Cities Project,Contract Award,Western And Central Africa,17-Jun-2024,SPM - Recrutement d'un Spécialiste en Passation des Marchés,"Sub-National Government,Other Public Administration,Social Protection"
Harmonizing and Improving Statistics in West and Central Africa - Series of Projects Two (HISWACA -,Contract Award,Western And Central Africa,17-Jun-2024,DR_Trois (03) Chauffeur à recruter dans le cadre du projet  D'Harmonisation et d'Amélioration des Statistiques en Afrique de l'Ouest et du Centre (HISWACA SOP 2).,"Central Government (Central Agencies),Public Administration - Social Protection"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,"Construction of multi cells box culvert, approach roads and gravelling along Maganzo road 9Km in Kishapu DC.","Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,17-Jun-2024,Construction of two box culvert and approach raods along Nanyumu-Mbangalambuyuni road in Nanyumbu DC,"Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Project for Strengthening Public Financial Management,Contract Award,East Asia And Pacific,17-Jun-2024,Project Officer 2024,"Central Government (Central Agencies),Other Public Administration,ICT Infrastructure,ICT Services"
Climate Adaptation and Resilience for South Asia,Invitation for Bids,South Asia,17-Jun-2024,Physical Server - Nepal,"Other Public Administration,Sub-National Government"
Nigeria For Women Project,Contract Award,Western And Central Africa,17-Jun-2024,Supply and Installation of Rice Milling Equipment and Accessories for Five (5no) Women Collectives in Wushishi L G A II in Niger State.,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Paraguay Public Health Sector Strengthening,Contract Award,Latin America And Caribbean,17-Jun-2024,Contratacion de Especialista como Coordinador de Infraestructura,"Health Facilities and Construction,Public Administration - Health,Health"
Panama COVID-19 Emergency Response,Contract Award,Latin America And Caribbean,17-Jun-2024,"60 Computadoras portátiles avanzadas, 60 Monitores de 27"" LED,  60 Baterías UPS,","Public Administration - Health,Health"
